prices.amountMax,prices.amountMin,Disponibilidad,Estado,prices.isSale,Tienda Precio,Envios,Categoria Principal,secondary category
42.46,42.46,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Electronics,Digital camera and accessories
39.95,39.95,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Electronics,Digital camera and accessories
49.99,49.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Electronics,Digital camera and accessories
79.95,79.95,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Computer and accessories,Computer and accessories
78.99,78.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer and accessories
89.95,89.95,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Computer and accessories,Computer and accessories
65.19,65.19,In Stock,New,0,walmart,Free Expedited Shipping,Computer and accessories,Computer and accessories
66.99,66.99,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Computer and accessories,Computer and accessories
79.95,79.95,In Stock,New,0,walmart,Free Standard Shipping,Computer and accessories,Computer and accessories
450.99,450.99,In Stock,New,1,bestbuy,Free Standard Shipping,TV and accessories,TV
599.99,397.99,In Stock,New,1,walmart,Free Standard Shipping,TV and accessories,TV
477.99,477.99,In Stock,New,1,bhphotovideo,Minimum Order Free Shipping,TV and accessories,TV
496.36,496.36,In Stock,New,0,walmart,Free Expedited Shipping,TV and accessories,TV
599.99,477.99,In Stock,New,1,walmart,Free Standard Shipping,TV and accessories,TV
449.99,449.99,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,TV
479.99,479.99,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,TV
599.99,497.99,In Stock,New,1,walmart,Free Standard Shipping,TV and accessories,TV
549.0,549.0,In Stock,New,0,walmart,Free Standard Shipping,TV and accessories,TV
497.99,497.99,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,TV and accessories,TV
549.99,549.99,In Stock,New,0,walmart,Free Standard Shipping,TV and accessories,TV
599.99,447.99,In Stock,New,1,walmart,Free Standard Shipping,TV and accessories,TV
447.99,447.99,In Stock,New,1,bhphotovideo,Minimum Order Free Shipping,TV and accessories,TV
529.0,529.0,In Stock,New,0,walmart,Free Standard Shipping,TV and accessories,TV
599.99,329.99,In Stock,New,1,walmart,Free Standard Shipping,TV and accessories,TV
431.99,431.99,In Stock,New,1,bestbuy,Free Standard Shipping,TV and accessories,TV
497.99,497.99,In Stock,New,0,walmart,Free Standard Shipping,TV and accessories,TV
499.99,499.99,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,TV
399.99,399.99,In Stock,New,1,bestbuy,Free Standard Shipping,TV and accessories,TV
499.99,499.99,In Stock,New,0,walmart,Free Standard Shipping,TV and accessories,TV
37.99,37.99,Out of Stock,New,0,walmart,Free Expedited Shipping,Wireless Tech,Wireless Tech
39.99,39.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
49.99,49.99,In Stock,New,0,walmart,Free Standard Shipping,Wireless Tech,Wireless Tech
43.99,43.99,In Stock,New,0,walmart,Free Expedited Shipping,Wireless Tech,Wireless Tech
49.99,49.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
32.99,32.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
37.99,37.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
44.65,44.65,In Stock,New,0,walmart,Free Expedited Shipping,Wireless Tech,Wireless Tech
99.99,99.99,In Stock,New,0,bestbuy,Free Standard Shipping,Audio and accessories,Audio and accessories
229.99,229.99,In Stock,Used,0,bestbuy,Minimum Order Free Shipping,Computer and accessories,Computer and accessories
299.99,299.99,In Stock,Refurbished,0,bestbuy,Minimum Order Free Shipping,Computer and accessories,Computer and accessories
649.99,649.99,In Stock,Refurbished,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer and accessories
249.99,249.99,In Stock,Refurbished,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer and accessories
74.99,74.99,In Stock,New,0,walmart,Free Expedited Shipping,Computer and accessories,Computer
70.88,70.88,In Stock,New,0,walmart,Free Expedited Shipping,Computer and accessories,Computer
45.1,45.1,Out of Stock,New,0,walmart,Free Expedited Shipping,Computer and accessories,Computer
79.99,79.99,In Stock,New,0,walmart,Free Expedited Shipping,Computer and accessories,Computer
64.99,64.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
67.99,67.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
61.85,61.85,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,TV and accessories,TV and accessories
69.99,69.99,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,TV and accessories
